Speed,Vertical_Acceleration,Lateral_Acceleration,Longitudinal_Acceleration,Roll,Pitch,Yaw
88.3,-0.034,-0.007,-0.008,-1.565,-0.036,-0.351
55,-0.015,0.002,-0.052,-1.598,0.226,0.114
81.8,-0.006,0,0.011,-1.588,0.016,2.997
94,-0.016,-0.025,-0.008,-1.587,0.088,0.246
98.1,-0.008,-0.019,0.01,-1.545,0.042,0.953
94.5,-0.024,0.017,0.015,-1.563,-0.004,-2.725
97.1,-0.002,0.023,0.005,-1.58,-0.014,-1.394
128,-0.015,-0.01,0.024,-1.591,-0.063,0.321
89.9,-0.027,0.028,-0.001,-1.568,-0.051,-2.799
79.1,0,0.009,-0.016,-1.597,-0.018,-2.861
100.8,-0.008,-0.001,0.011,-1.608,-0.026,0.265
101.8,-0.013,0.03,0,-1.516,0.025,0.361
88.3,-0.01,0.019,-0.007,-1.531,0.015,0.163
88.8,-0.008,0.013,-0.04,-1.548,0.022,-0.369
122.5,-0.034,-0.239,-0.084,-1.625,-0.247,-0.542
90.4,-0.017,-0.023,-0.005,-1.554,0,0.669
94.6,-0.01,-0.014,-0.011,-1.507,-0.006,0.784
103.9,0.005,-0.022,0.014,-1.515,-0.022,0.275
76,-0.027,0.014,0.006,-1.602,0.004,0.27
87.3,-0.007,-0.005,-0.001,-1.597,0.049,1.507
67.4,0.002,0.021,-0.021,-1.51,-0.047,0.016
131.3,-0.01,0.018,-0.017,-1.537,0.049,2.75
96.5,-0.057,-0.022,-0.04,-1.545,-0.04,-1.026
94.4,-0.008,0.03,-0.004,-1.516,-0.057,1.658
99.8,-0.013,-0.018,0.011,-1.582,0.043,0.026
75.9,-0.014,0.015,-0.01,-1.556,-0.031,1.108
87.5,0.034,-0.051,-0.006,-1.566,-0.006,0.418
116.1,-0.016,-0.021,-0.025,-1.523,0.039,0.136
95.4,-0.026,-0.006,-0.01,-1.516,0.014,3.086
105.2,0.017,-0.001,-0.007,-1.516,-0.026,0.276
90.5,-0.074,-0.001,-0.022,-1.56,0,0.066
87.5,-0.107,-0.404,-0.007,-1.59,-0.455,-0.448
83,-0.015,0.017,-0.034,-1.535,0.006,-0.632
117.8,0.026,0.001,0.007,-1.569,0.026,-1.198
113.4,-0.075,0.007,-0.013,-1.592,-0.161,-0.591
108.9,-0.006,-0.001,0.009,-1.574,0.006,1.984
89,-0.002,0.009,-0.005,-1.527,-0.022,0.673
109.7,-0.047,0.008,-0.024,-1.547,-0.054,0.274
96.6,-0.037,0.002,-0.008,-1.561,-0.016,-0.417
86.3,-0.026,-0.006,-0.009,-1.555,-0.03,-1.386
80.5,-0.052,0.012,-0.006,-1.56,-0.039,-1.609
101.6,0.002,0.014,0.004,-1.606,0,-3.079
73,-0.006,-0.001,0.005,-1.619,-0.009,0.113
76.6,0.009,-0.008,0,-1.608,0.013,-0.274
88,-0.002,-0.014,-0.015,-1.517,-0.047,1.716
99.9,0.007,0.012,0.012,-1.588,0.021,0.167
105.7,0.021,0.005,0.001,-1.589,0.012,-0.773
96.7,-0.001,-0.002,0.026,-1.577,0,0.081
122.7,0.006,-0.033,0.025,-1.569,0.004,-2.372
102.6,0.016,0.034,0.01,-1.58,-0.014,-1.337
99.6,-0.022,0.005,0.095,-1.526,-0.02,-1.75
91.1,-0.012,-0.005,0.004,-1.494,0.067,-0.499
43.8,-0.025,0.01,0.02,-1.588,-0.004,-0.078
96.4,-0.026,0.001,-0.02,-1.519,0.003,0.067
93.8,-0.016,0.005,0.013,-1.574,-0.07,-0.186
83.4,0.001,-0.012,-0.015,-1.538,0.037,-2.997
99.6,-0.042,-0.009,-0.005,-1.556,-0.011,0.15
84.2,0.003,-0.014,0.003,-1.602,-0.017,-0.336
114.6,-0.028,0.011,-0.061,-1.547,-0.029,2.757
99.1,-0.01,0.005,-0.001,-1.581,-0.004,2.107
98.1,-0.078,0.012,-0.04,-1.539,-0.012,-3.135
86.5,-0.009,-0.017,-0.038,-1.638,-0.041,2.036
91.5,-0.064,-0.081,-0.106,-1.63,-0.119,0.041
85.2,-0.023,-0.003,-0.021,-1.526,-0.045,-0.1
88.7,0.018,-0.042,0.019,-1.499,0.025,-1.675
73,-0.072,0.124,-0.035,-1.576,-0.166,-1.216
86.1,0.013,0.003,-0.007,-1.593,0.054,0.387
115.5,0.009,0.05,0.029,-1.486,0.032,-0.845
117.4,-0.086,0.002,-0.033,-1.636,-0.178,-1.008
88.3,-0.028,0.015,0.017,-1.641,0.057,0.369
91.6,0.003,0.012,0.004,-1.528,0.02,0.104
89.8,-0.012,-0.019,0.01,-1.577,-0.046,-0.831
107.1,-0.054,0.024,-0.003,-1.593,-0.082,0.055
100.7,-0.001,0.038,-0.025,-1.515,0.024,-1.883
96.3,-0.025,-0.005,-0.001,-1.512,-0.083,-2.151
85.5,-0.016,-0.006,-0.007,-1.504,-0.009,0.855
84.5,-0.002,0.02,0.016,-1.578,0.006,0.294
89.9,-0.018,0.007,-0.01,-1.538,-0.019,-1.169
83.7,-0.018,0.003,-0.02,-1.556,0.015,0.212
84.8,0.013,0,-0.021,-1.566,-0.009,-3.034
91,0.005,-0.004,0.001,-1.577,0.012,0.139
72.9,-0.036,0.031,-0.167,-1.554,0.198,-0.026
112.9,-0.017,0.015,-0.034,-1.566,-0.029,2.101
80.6,0.017,-0.009,-0.001,-1.548,-0.004,-0.632
124.5,0.019,0.007,0.022,-1.585,0.014,0.117
97.2,0.023,-0.005,-0.014,-1.586,0.005,2.523
74.3,-0.027,0.067,-0.013,-1.502,-0.039,0.068
73.1,-0.026,-0.001,-0.056,-1.596,-0.005,-2.934
81.6,0,-0.014,0.014,-1.532,-0.016,0.308
88.1,-0.03,0.037,-0.022,-1.508,-0.017,-1.188
91.5,0.012,-0.004,-0.008,-1.593,0,0.128
111.9,0.008,0.016,-0.003,-1.533,0.024,-1.434
95.7,-0.05,-0.022,0.026,-1.556,0.032,-1.799
103.5,0.026,-0.004,0.016,-1.563,-0.042,-2.907
89.9,-0.022,-0.006,-0.006,-1.601,-0.018,-0.082
106,0.023,0,-0.045,-1.537,-0.081,-2.989
78.3,0.015,0.009,-0.003,-1.502,-0.027,0.117
84.3,-0.045,-0.011,-0.008,-1.611,-0.015,0.433
115.7,-0.017,-0.007,0.001,-1.57,0.039,-1.203
86.4,-0.015,-0.009,-0.001,-1.585,-0.016,-0.289
109.9,-0.001,-0.003,-0.017,-1.554,0.042,-1.347
75.7,-0.012,-0.017,0.029,-1.588,0.008,-0.013
100.1,-0.038,0.013,0.025,-1.564,0.044,0.105
88.2,0.001,0.041,-0.033,-1.552,-0.026,-0.435
93.2,-0.017,0.022,0.007,-1.516,-0.026,-2.979
134.5,-0.033,-0.012,0.014,-1.55,0,2.887
72.5,-0.02,-0.01,0.007,-1.572,0.005,-1.381
91.1,0.005,0.021,0.002,-1.561,0.011,0.037
107.8,0.001,0.028,-0.008,-1.564,0.025,0.016
82.8,-0.015,0.004,0.004,-1.571,-0.001,2.022
95.8,0.014,0.015,-0.022,-1.508,-0.018,0.313
97.3,0.023,0.018,0.015,-1.578,0.001,-0.411
89,0.018,-0.003,0.019,-1.499,0.059,-0.879
96.4,-0.019,-0.018,-0.002,-1.496,-0.014,1.427
82.3,-0.013,0.003,-0.002,-1.573,0.03,0.019
94.1,-0.013,0.016,-0.031,-1.603,0.015,2.144
88.7,-0.012,0.024,0.052,-1.551,0.008,0.004
59.5,0.028,-0.309,-0.04,-1.601,-0.042,2.251
117.3,-0.009,-0.045,0.022,-1.534,-0.01,-2.253
69,-0.027,-0.01,-0.01,-1.554,-0.05,2.03
96.5,-0.009,0.035,-0.018,-1.537,0.014,0.307
96.6,-0.027,0.003,0.003,-1.55,0.018,1.067
92.1,0.014,0.026,0.013,-1.49,-0.061,-1.222
86.5,-0.015,0.001,0.01,-1.589,-0.011,0.124
98.9,-0.037,-0.037,-0.004,-1.522,0.015,0.091
84.2,-0.006,0.013,-0.041,-1.554,0.004,1.285
98.5,-0.011,0.016,0.018,-1.597,0.02,0.35
95.7,0.011,0.025,0.005,-1.562,-0.011,-2.781
85.5,-0.045,0.02,0.044,-1.58,0.033,0.169
120.6,-0.021,-0.004,0.006,-1.483,-0.039,-2.521
111.1,-0.016,0.011,-0.002,-1.508,0.03,0.298
93,-0.014,0.017,-0.016,-1.555,0.03,-1.022
84.9,0.014,-0.019,0.031,-1.581,-0.021,-1.045
90.5,-0.037,-0.02,-0.035,-1.549,0.024,-1.003
90.7,0.003,0.018,0.056,-1.557,-0.067,-0.953
54.1,0.011,-0.027,0.001,-1.666,0.203,2.696
99.9,0.004,-0.018,-0.004,-1.591,0.052,0.164
84.2,0.003,0.031,0.027,-1.577,0.005,-2.988
95.3,-0.11,-0.025,0.017,-1.553,-0.057,-0.608
94.1,-0.027,-0.001,0.003,-1.506,-0.097,-1.733
78.8,0.003,-0.011,-0.006,-1.606,0.028,0.066
74.6,-0.021,-0.066,-0.023,-1.539,0.038,2.955
91.2,0.002,-0.004,-0.021,-1.505,0.005,1.132
100.9,0.02,0.056,0.016,-1.595,0.008,0.419
133.8,-0.051,-0.284,-0.011,-1.539,-0.285,-0.192
84.5,-0.018,0.039,0.007,-1.556,-0.046,0.418
98.1,0.003,0.03,-0.003,-1.557,-0.022,0.07
110.3,-0.002,0.017,-0.003,-1.513,0.036,2.419
97,-0.012,-0.009,-0.028,-1.549,0.045,0.123
66.1,-0.009,0.045,0.003,-1.513,-0.034,1.739
117.8,-0.051,0.001,-0.071,-1.403,-0.024,0.345
97.7,0.01,0.015,0.007,-1.543,0.022,0.059
100.8,0.002,-0.001,0.018,-1.544,0.008,-2.677
69.7,0.02,-0.047,0.071,-1.447,-0.036,-1.591
91,0.025,-0.042,-0.022,-1.576,0.005,-0.058
100.6,-0.001,-0.07,-0.001,-1.596,0.023,-1.291
103.5,-0.01,-0.015,0.036,-1.519,-0.012,0.277
91,0.051,0.255,-0.083,-1.577,-0.159,0.348
93,-0.025,-0.015,-0.015,-1.538,0.069,1.132
97.5,-0.011,-0.022,0.018,-1.549,-0.007,2.015
101.1,-0.02,0.006,-0.001,-1.512,-0.002,0.651
99.6,0.003,0.008,-0.022,-1.58,0.013,0.078
99.8,-0.019,0.012,-0.014,-1.583,0.012,0.062
76.6,-0.023,-0.027,0.073,-1.603,0.011,-1.191
109.3,-0.003,-0.024,-0.013,-1.58,0.014,-0.938
87,0.013,-0.009,-0.009,-1.565,-0.039,-0.278
114.4,0.087,-0.061,-0.016,-1.503,-0.017,-0.206
66.1,-0.01,-0.036,0.034,-1.572,-0.033,-1.59
89.3,-0.068,-0.359,-0.01,-1.527,-0.402,-0.453
135,-0.108,-0.356,-0.039,-1.615,-0.346,-0.489
86.2,-0.001,0.028,-0.007,-1.551,0.04,0.687
126.3,0.018,-0.026,0.018,-1.599,-0.013,-2.459
89.2,0.008,-0.001,-0.001,-1.515,-0.016,-3.045
84.7,0.028,-0.063,-0.002,-1.542,0.02,1.102
111.8,-0.023,-0.026,0.018,-1.563,-0.014,-0.922
80.7,-0.012,0.037,0.03,-1.561,0.049,-2.994
92.1,0.002,0.006,0.001,-1.516,-0.026,-1.82
116,0.037,0.006,0.003,-1.545,0.003,0.18
0,0.01,0.008,0.004,-1.547,-0.006,0.072
117.9,-0.051,-0.033,0.045,-1.546,-0.02,-0.552
114.4,-0.01,-0.008,0.006,-1.56,-0.001,-1.261
86.1,-0.062,0.05,0.014,-1.516,0.049,0.934
79.1,-0.014,-0.008,-0.021,-1.568,-0.026,-0.205
95.2,-0.033,0.015,0.029,-1.532,0.014,0.099
94.7,-0.001,0.013,0.003,-1.536,0.028,-1.846
95.3,0.001,0.011,-0.047,-1.565,-0.011,-2.603
74.1,0.006,-0.015,-0.005,-1.571,0,-1.219
84.8,-0.033,-0.012,-0.029,-1.522,0.019,2.907
91.4,-0.015,0.017,-0.012,-1.524,0.052,-0.953
88.1,-0.015,0.024,0.019,-1.567,-0.018,1.672
85.8,-0.024,0.006,0.01,-1.528,-0.037,1.973
108.3,-0.015,-0.036,-0.013,-1.562,0.035,-1.173
71.1,-0.025,0.001,0.003,-1.591,-0.016,-0.196
100.9,-0.022,-0.014,0.015,-1.503,0.05,2.835
99.2,-0.043,0.026,0.022,-1.596,0.052,2.195
93.5,-0.009,-0.017,0.01,-1.538,-0.027,-1.877
73.5,-0.023,-0.012,0.006,-1.554,-0.002,2.026
74.7,0.003,-0.007,0.019,-1.609,0.012,-0.074
117.5,-0.04,0.023,-0.027,-1.564,-0.165,-3.037
111,-0.056,-0.269,0.02,-1.626,-0.293,-0.495
86.6,-0.021,0.018,0.03,-1.608,-0.018,1.827
83.5,-0.051,-0.008,-0.053,-1.617,-0.023,-0.688
108.5,-0.015,-0.006,-0.003,-1.592,-0.018,1.86
82.4,-0.011,0.024,-0.115,-1.44,-0.007,-0.92
107.5,0.004,-0.019,0.001,-1.573,0.027,-3.107
147.3,-0.057,-0.011,-0.061,-1.562,-0.086,-2.324
101.3,-0.011,-0.017,0.007,-1.521,-0.012,0.646
81.4,-0.011,0.007,0.02,-1.551,-0.015,-0.249
88.3,0.003,0.006,0.049,-1.565,0.007,-0.572
79.2,-0.021,0.01,0.018,-1.577,-0.013,2.998
95.7,-0.023,0.03,-0.048,-1.507,-0.091,-1.483
93.1,-0.031,0.002,-0.028,-1.504,-0.004,0.48
120.7,-0.036,0.006,0.014,-1.545,-0.02,0.422
90.3,-0.012,0.018,0.014,-1.529,0.054,1.68
92.3,0.022,-0.027,0.005,-1.55,-0.005,0.194
86.4,-0.002,-0.018,-0.042,-1.571,-0.016,-0.253
122.3,-0.015,-0.013,-0.016,-1.524,-0.035,-0.887
53.9,0.002,0.028,-0.035,-1.545,0.245,1.881
101.1,-0.044,0.001,-0.06,-1.699,-0.017,-0.038
99,-0.016,0.055,0.032,-1.634,-0.006,2.127
97.4,-0.01,-0.025,0.001,-1.599,-0.038,0.266
106.8,-0.015,0.001,-0.024,-1.535,0.029,-0.811
52.7,-0.025,0.028,-0.051,-1.617,0.214,1.817
81,0.003,0.005,-0.009,-1.526,0.008,-1.263
89.6,0.01,0.013,-0.006,-1.565,-0.001,-1.396
86,-0.017,-0.006,0.003,-1.566,-0.005,2.807
102.3,-0.032,-0.009,-0.002,-1.573,-0.046,1.947
83.4,-0.017,-0.024,-0.001,-1.609,-0.029,0.081
99.1,-0.013,0.017,0.014,-1.544,0.002,0.155
46.1,-0.084,-0.022,-0.045,-1.577,0.178,1.722
84.5,-0.044,0.012,-0.017,-1.594,-0.014,-0.392
92.2,-0.005,-0.011,-0.039,-1.617,-0.056,-0.299
108.8,-0.006,-0.008,0.01,-1.557,0.015,0.006
119.6,0.007,-0.037,-0.001,-1.536,0.023,0.424
77.2,-0.041,0.005,0.007,-1.544,-0.021,2.94
120.5,0.006,0.002,-0.021,-1.538,0.032,0.147
85.7,-0.003,0.013,-0.012,-1.568,-0.038,1.953
110.5,-0.039,-0.004,-0.002,-1.556,-0.036,-0.874
87.6,-0.031,-0.017,0.009,-1.6,-0.06,-0.029
115.2,-0.021,0.035,0.003,-1.571,0.023,-2.51
83.6,-0.009,-0.017,-0.025,-1.585,-0.033,-0.152
79.2,0.002,-0.007,-0.003,-1.573,0.01,-0.401
95.1,-0.069,-0.432,0.018,-1.533,-0.403,-0.473
80.5,-0.019,-0.112,-0.03,-1.532,0.029,0.136
92,0.001,-0.005,-0.008,-1.572,0.014,0.111
85.2,-0.003,0.009,0.008,-1.551,0.007,2.916
87.2,0.035,0.043,-0.019,-1.58,-0.035,-0.317
134.9,-0.024,0.047,-0.038,-1.629,-0.207,-0.507
87.4,-0.106,-0.435,-0.011,-1.574,-0.431,-0.508
115.2,-0.012,0.049,-0.048,-1.614,-0.13,-1.304
85.3,-0.055,-0.004,0.034,-1.544,0.054,0.083
88.7,-0.004,0.022,0.001,-1.585,0.032,0.063
85.8,-0.029,0.008,-0.015,-1.556,0.043,0.648
139.2,0.008,0.027,-0.015,-1.564,-0.014,0.456
107.5,-0.019,-0.01,0,-1.578,0.017,0.096
113.7,-0.038,0.006,-0.014,-1.587,0.03,2.032
108.5,0.001,-0.021,-0.002,-1.553,0.02,0.008
109.7,-0.02,0.012,0.007,-1.626,0.031,0.206
94.1,-0.013,0.009,0.01,-1.56,-0.033,0.102
87.2,-0.016,-0.003,-0.001,-1.556,-0.033,1.845
73.9,-0.011,0.005,-0.003,-1.533,-0.019,1.825
80.9,-0.022,0.003,0.015,-1.537,0.02,-1.375
114.6,-0.005,0.005,-0.015,-1.557,-0.033,0.283
91.7,-0.057,-0.391,0.05,-1.5,-0.388,-0.381
90.9,0.004,-0.007,0.014,-1.538,-0.002,0.873
98,0,-0.011,-0.019,-1.519,0.033,2.537
37.2,-0.012,0.006,0.016,-1.644,0.01,-2.856
93.5,-0.006,0.003,-0.009,-1.512,-0.003,0.802
105.4,-0.037,-0.025,0.018,-1.579,-0.012,0.318
62.4,0.009,-0.045,-0.02,-1.547,0.136,-1.084
109.3,-0.066,0.009,0.005,-1.571,0.052,-0.072
76.8,-0.016,0.011,0.039,-1.578,0.003,2.922
92.3,-0.02,-0.008,0.02,-1.575,0.006,0.074
86.7,-0.044,0.014,-0.014,-1.591,-0.024,-1
85.9,-0.009,0.006,-0.024,-1.556,0.011,0.978
89.4,0.015,-0.011,-0.037,-1.567,-0.022,1.159
96.3,-0.027,-0.023,-0.015,-1.497,-0.012,1.542
91.5,-0.018,0.011,0.014,-1.569,-0.004,-0.046
85,0.022,0.001,0.01,-1.544,0.026,3.07
96.1,0.011,-0.033,0.001,-1.593,-0.004,-0.507
74.1,-0.032,-0.003,-0.001,-1.588,-0.025,-0.669
93.7,-0.048,0.004,0.012,-1.542,-0.012,-2.856
118.8,-0.118,-0.008,-0.013,-1.563,-0.029,-2.522
99.1,-0.008,0.005,0.003,-1.538,-0.022,-1.323
115.8,-0.001,0.024,0.003,-1.594,0.003,1.787
76,0.01,-0.009,-0.018,-1.53,0.023,2.425
93,-0.016,-0.027,0.007,-1.582,-0.054,-0.417
82.8,0.019,-0.007,0.02,-1.463,0.034,-0.347
113.9,0.036,0.01,-0.005,-1.606,-0.006,-0.732
91.9,-0.121,-0.442,-0.032,-1.584,-0.432,-0.488
84.3,0.024,0.017,-0.006,-1.595,-0.024,1.099
90,-0.007,-0.028,0.034,-1.555,-0.094,-1.185
101.8,-0.006,-0.013,-0.026,-1.561,0.012,0.099
79.6,-0.022,-0.001,0.012,-1.575,-0.006,3.032
94.5,-0.075,-0.47,-0.02,-1.562,-0.429,-0.528
79.7,0.003,0.006,-0.009,-1.575,0.013,3.042
97.6,-0.022,0.011,-0.003,-1.583,-0.013,3.03
94.6,0.001,0,-0.004,-1.556,-0.007,-2.734
87.2,-0.015,0.008,0.02,-1.577,-0.04,1.842
78.2,-0.022,-0.021,0.002,-1.519,-0.018,-1.553
103.4,-0.021,0.01,0.001,-1.523,0.006,-0.996
119.6,-0.072,0.002,-0.017,-1.593,0.02,2.399
94.9,0.009,-0.004,-0.002,-1.517,0.062,-1.294
116.9,-0.016,-0.013,-0.014,-1.57,0.028,1.981
117,-0.019,-0.011,-0.023,-1.527,-0.033,-2.666
94.7,-0.088,-0.448,-0.029,-1.545,-0.429,-0.508
86.3,-0.094,-0.396,0.019,-1.512,-0.397,-0.428
119.2,-0.021,0.006,-0.075,-1.545,0.019,0.14
76.7,-0.021,-0.012,0.028,-1.614,0.008,0.017
90,0,0.002,-0.044,-1.553,-0.042,1.83
79.4,0.009,-0.012,0.013,-1.583,0.002,-3.066
110.1,-0.011,0.049,0.006,-1.559,-0.028,1.664
84.9,0.003,0.014,0.006,-1.522,0.01,2.86
95.5,-0.049,-0.033,0.019,-1.546,0.044,-1.413
99.3,0.016,0.016,0.01,-1.519,0.004,0.653
83.6,0.028,0.022,-0.013,-1.579,-0.003,1.509
89.1,-0.021,0.02,-0.018,-1.55,-0.009,-1.004
136.3,-0.022,-0.017,-0.009,-1.577,-0.026,0.229
103.2,-0.029,-0.002,-0.031,-1.536,-0.019,1.824
99.2,-0.002,-0.02,0.041,-1.556,0.024,0.145
67.5,-0.002,0.024,-0.01,-1.515,0.013,-1.174
101.1,-0.023,0.013,-0.007,-1.539,0.007,0.181
133.9,0.003,0.004,0.05,-1.524,-0.012,2.424
119.2,0.034,0.002,0.003,-1.557,-0.004,-0.636
96.9,0.007,-0.008,0.021,-1.541,-0.012,-2.015
95.4,-0.019,-0.018,0.001,-1.597,-0.001,-3.08
87,-0.023,0.028,0.025,-1.57,0.037,2.064
107.7,0.006,-0.011,0.005,-1.576,-0.022,-2.719
91.2,-0.053,0.019,0.027,-1.536,0.013,0.303
87,-0.008,-0.01,0,-1.57,-0.052,-0.836
66.1,-0.025,0.01,-0.028,-1.541,-0.008,1.7
92.8,0.02,0.011,-0.028,-1.556,-0.01,-2.76
104.2,-0.008,-0.007,0.01,-1.593,-0.013,-3.099
82.9,0.006,0.02,-0.001,-1.576,0.078,0.132
102.7,-0.046,-0.023,0.002,-1.557,-0.042,1.73
120.9,-0.026,-0.018,0.017,-1.521,-0.028,-2.553
96,-0.043,0.006,0.004,-1.534,-0.054,-2.066
70.3,-0.014,0,0.016,-1.54,0.013,1.971
117.2,-0.009,-0.006,-0.02,-1.514,0.007,0.144
67.9,-0.002,0.006,-0.005,-1.513,-0.013,-2.904
112.1,-0.012,-0.006,-0.001,-1.565,-0.005,1.879
95.5,-0.011,-0.015,0.014,-1.507,-0.078,-2.133
76.1,0,0.027,-0.017,-1.591,-0.031,-0.503
132.1,-0.008,-0.01,-0.001,-1.519,0.031,0.357
89.5,-0.03,0.019,-0.007,-1.497,-0.028,0.906
82.5,-0.016,0.031,-0.004,-1.606,0.016,0.362
128.3,-0.008,-0.005,0.001,-1.586,0.005,2.646
112.4,-0.08,-0.017,0.001,-1.526,-0.015,1.812
91.3,-0.004,-0.018,0.019,-1.585,-0.029,3.015
80.9,-0.016,0.007,-0.004,-1.567,0.017,1.224
97.8,0.002,-0.024,0.001,-1.587,0.028,2.004
93.6,-0.042,-0.004,0.011,-1.499,0.01,-0.836
106.6,-0.017,-0.002,-0.034,-1.622,0.036,-1.655
86,0.012,-0.022,-0.002,-1.604,-0.013,0.343
100.4,0.01,0.041,-0.044,-1.555,-0.001,-3.042
110.1,-0.032,0.011,0.051,-1.547,-0.011,0.078
81,-0.006,0.005,-0.008,-1.562,-0.034,1.824
144.6,0.029,-0.002,0.002,-1.57,0.003,2.947
86.9,0,-0.014,-0.005,-1.572,-0.038,-0.255
113.4,0.015,-0.019,-0.023,-1.604,0.015,1.978
102.6,-0.019,0.031,-0.009,-1.637,-0.049,0.502
86.1,0.01,-0.003,-0.02,-1.53,-0.029,1.825
79,-0.003,-0.018,0.023,-1.595,-0.004,-0.321
82.3,0.007,0.001,0.004,-1.565,-0.001,1.217
89.4,-0.021,-0.008,-0.011,-1.561,-0.043,-0.831
104.1,-0.024,-0.007,-0.016,-1.586,0.023,0.237
95.2,-0.012,0.037,-0.019,-1.533,-0.017,-1.801
148.1,0.058,-0.003,-0.022,-1.536,-0.007,-2.431
98.7,-0.024,0.021,-0.011,-1.584,0.029,1.423
92.9,-0.021,-0.008,0.009,-1.53,0.058,-1.891
87.6,-0.086,-0.391,-0.007,-1.509,-0.396,-0.436
70.2,-0.033,0.034,-0.007,-1.543,-0.066,1.797
98.6,-0.018,0.028,-0.028,-1.505,-0.013,0.085
109.9,-0.01,0.009,-0.008,-1.527,0.011,2.409
89.1,-0.025,0.024,-0.009,-1.582,0.001,0.156
118,-0.013,-0.005,0.007,-1.574,0.013,-0.959
84.9,-0.01,-0.001,0.018,-1.526,-0.04,-0.101
92.4,0.01,-0.04,0.015,-1.617,0.07,-1.347
90.3,0.058,0.007,-0.008,-1.596,-0.023,0.028
83.2,-0.019,-0.017,0.015,-1.597,-0.027,-0.045
94.7,-0.014,-0.008,0.012,-1.53,-0.009,0.764
87.7,0.04,0.009,-0.011,-1.54,-0.046,-0.146
79.3,-0.012,0.012,-0.005,-1.549,-0.016,-0.632
86.9,0.022,-0.007,0.007,-1.6,0.005,-0.803
139.8,0.041,0.009,0.013,-1.54,-0.026,-2.444
85.6,-0.04,0.026,-0.011,-1.553,0.016,0.081
73.5,-0.013,-0.006,0,-1.515,0.004,3.046
98.8,-0.023,0.002,-0.005,-1.555,-0.054,1.67
84.1,-0.01,0.004,-0.018,-1.612,0.023,0.034
121.3,-0.041,0.101,0.028,-1.528,-0.082,-1.696
94.6,-0.042,0.051,-0.011,-1.563,-0.009,-0.445
93.4,-0.019,-0.01,-0.038,-1.561,-0.034,2.274
87.9,-0.023,-0.004,-0.005,-1.548,0.046,1.506
86.7,-0.034,0.031,0.047,-1.505,-0.023,0.638
85.2,-0.005,-0.008,-0.005,-1.503,0.005,1.344
85.2,-0.048,0.013,-0.016,-1.528,-0.055,1.169
104.1,-0.014,0.005,-0.036,-1.583,-0.008,-2.954
95.3,-0.007,-0.018,-0.026,-1.636,0.049,0.46
99,0.013,0.014,-0.006,-1.602,0.013,-1.21
88.6,-0.024,0.017,-0.015,-1.612,0.066,0.601
109.4,-0.024,-0.008,0.004,-1.613,0.014,2.073
85.4,-0.015,0.019,0.028,-1.526,-0.041,1.838
141.5,-0.017,-0.018,0.025,-1.526,0.015,2.811
103.8,-0.011,-0.027,0.031,-1.537,0.019,2.441
98.9,-0.01,0.015,0.007,-1.582,-0.014,-3.136
101.1,-0.007,-0.009,-0.061,-1.595,-0.019,-1.07
88.1,-0.004,0.027,0,-1.598,0.034,0.538
51.7,0.007,-0.004,-0.015,-1.605,0.208,1.187
92.4,-0.013,-0.012,0.007,-1.513,-0.038,0.211
61.4,0.055,-0.004,0.008,-1.534,-0.005,0.688
104.3,-0.016,-0.012,-0.012,-1.636,-0.056,0.509
69.8,-0.027,-0.041,-0.051,-1.587,0.173,-1.142
97.6,0.007,-0.033,0.004,-1.554,0.025,-0.173
109.3,-0.027,-0.019,0,-1.536,0.03,-0.588
84.2,-0.017,0.013,0.009,-1.529,0.002,0.108
91.7,0.015,-0.007,0.035,-1.562,-0.005,-0.759
123.1,0.01,-0.008,0.008,-1.628,-0.022,2.055
87.8,-0.032,-0.045,-0.06,-1.496,-0.011,2.365
89.6,0.012,-0.001,-0.008,-1.538,-0.031,0.077
104.7,0.009,-0.016,0.011,-1.514,-0.008,1.851
113.8,-0.046,-0.027,-0.013,-1.641,-0.009,0.597
91,-0.041,-0.057,-0.012,-1.529,0.003,1.586
82.7,0.034,-0.038,-0.004,-1.598,0.058,-0.053
82.4,-0.014,-0.003,0.008,-1.55,0.006,2.877
88.8,-0.007,0.006,-0.003,-1.557,-0.012,0.783
87.8,-0.035,0.09,-0.027,-1.539,0.037,1.886
91.8,0.015,0.03,0,-1.566,0.018,0.113
122.7,-0.056,0.02,0.002,-1.565,0.005,2.701
115,-0.012,0.048,0.001,-1.583,0.081,-0.447
121.6,-0.032,-0.056,0.006,-1.575,-0.022,-0.897
88.4,0.014,0.026,-0.027,-1.549,-0.051,1.489
88.7,-0.023,-0.004,-0.023,-1.563,-0.054,-0.838
134.9,-0.034,-0.002,-0.012,-1.529,0.012,2.84
126.5,0.024,0.005,-0.048,-1.574,0.002,-2.377
117.8,0.01,-0.005,0.006,-1.552,0.045,-0.58
98.9,0.036,0.005,-0.029,-1.531,0,-2.752
111.4,0.009,0.008,-0.026,-1.556,-0.009,0.317
102.9,-0.059,0.047,-0.001,-1.574,-0.001,-2.751
112.1,-0.011,-0.04,-0.001,-1.606,-0.016,-1.08
122.4,0.017,0.041,-0.046,-1.573,0.094,0.709
89,0.005,0,-0.009,-1.562,-0.003,0.769
92.6,-0.03,-0.017,0.016,-1.538,-0.029,1.491
83.2,0.001,-0.005,-0.005,-1.628,-0.019,0.518
